id,machineId,machineName,productName,partNo,step,sampleGoodQty,sampleNgQty,sampleTestQty
3-ocp-110t-ct3-tetra-a1-coil-screw-terminal-a2-w117239710111,3-ocp-110t,3# OCP-110T,CT3 Tetra A1 Coil Screw Terminal A2,W117239710111,-,13860,81,0
4-sn1-110t-arc-plate-gv2-w113893530111,4-sn1-110t,4# SN1-110T,ARC PLATE GV2,W113893530111,-,1058530,774,0
4-sn1-110t-cradle-48187058,4-sn1-110t,4# SN1-110T,CRADLE,48187058,-,1202707,21002,0
4-sn1-110t-handle-arm-48187057aa,4-sn1-110t,4# SN1-110T,HANDLE ARM,48187057AA,-,163443,588,0
4-sn1-110t-medium-arc-platel-48187097aa,4-sn1-110t,4# SN1-110T,Medium Arc Platel,48187097AA,-,641852,1435,0
4-sn1-110t-anti-rotation-clip-5037028-aa,4-sn1-110t,4# SN1-110T,Anti-Rotation Clip,5037028-AA,-,23180,0,0
4-sn1-110t-armature-high-amp-48187063aa,4-sn1-110t,4# SN1-110T,Armature High Amp,48187063AA,-,147104,530,0
4-sn1-110t-high-arc-plate-48187053aa,4-sn1-110t,4# SN1-110T,High Arc Plate,48187053AA,-,476884,4805,0
4-sn1-110t-clamp-plate-48187311aa,4-sn1-110t,4# SN1-110T,CLAMP PLATE,48187311AA,-,429114,2451,0
5-ocp-110t-bimetal-138-51207070,5-ocp-110t,5# OCP-110T,BIMETAL (138),51207070,-,6108428,4256,0
5-ocp-110t-bimetal-137-51207070,5-ocp-110t,5# OCP-110T,BIMETAL (137),51207070,-,1717046,1666,0
5-ocp-110t-shield-assy-resolver-3507-2027,5-ocp-110t,5# OCP-110T,"SHIELD, ASSY, RESOLVER",3507-2027,-,6720,12,0
5-ocp-110t-ct3-tetra-a1-coil-screw-terminal-a2-w117239710111,5-ocp-110t,5# OCP-110T,CT3 Tetra A1 Coil Screw Terminal A2,W117239710111,-,14305,882,0
5-ocp-110t-yoke-48187064aa,5-ocp-110t,5# OCP-110T,YOKE,48187064AA,-,1352877,42874,0
5-ocp-110t-lower-link-48187059,5-ocp-110t,5# OCP-110T,Lower Link,48187059,-,75877,95,0
5-ocp-110t-spacer-plate-1-sb-092a-1-4,5-ocp-110t,5# OCP-110T,SPACER PLATE 1,SB-092A-1-4,-,6806,19,0
5-ocp-110t-primary-latch-48187061,5-ocp-110t,5# OCP-110T,PRIMARY LATCH,48187061,-,541598,10854,0
5-ocp-110t-handle-arm-48187057,5-ocp-110t,5# OCP-110T,Handle Arm,48187057,-,40449,62,0
5-ocp-110t-medium-arc-platel-48187097aa,5-ocp-110t,5# OCP-110T,Medium Arc Platel,48187097AA,-,176220,240,0
5-ocp-110t-sortie-bobine-borne-a2-w113791670114,5-ocp-110t,5# OCP-110T,SORTIE BOBINE BORNE A2,W113791670114,-,94641,900,0
5-ocp-110t-sortie-bobine-borne-a1-w113791660114,5-ocp-110t,5# OCP-110T,SORTIE BOBINE BORNE A1,W113791660114,-,115284,934,0
6-std-150t-shield-assy-resolver-3507-2027,6-std-150t,6# STD-150T,"SHIELD, ASSY, RESOLVER",3507-2027,-,16700,38,0
6-std-150t-orifice-plate-th-496a-2,6-std-150t,6# STD-150T,ORIFICE PLATE,TH-496A-2,-,35269,36,0
6-std-150t-secondary-latch-48187062aa,6-std-150t,6# STD-150T,Secondary Latch,48187062AA,-,226872,1835,0
6-std-150t-mechside-l-48187088,6-std-150t,6# STD-150T,MECHSIDE L,48187088,-,588115,7745,0
6-std-150t-mechside-r-48187089,6-std-150t,6# STD-150T,MECHSIDE R,48187089,-,588065,7795,0
6-std-150t-plate-11-658a-3,6-std-150t,6# STD-150T,PLATE,11-658A-3,-,40578,170,0
6-std-150t-diffuser-1185583-aa,6-std-150t,6# STD-150T,DIFFUSER,1185583-AA,-,600,55,0
6-std-150t-heat-shield-sb-070b-1-1-5,6-std-150t,6# STD-150T,HEAT SHIELD,SB-070B-1 (1/5),-,800,23,0
6-std-150t-heat-shield-sb-070c-1-1-5,6-std-150t,6# STD-150T,HEAT SHIELD,SB-070C-1 (1/5),-,12510,60,0
6-std-150t-tie-bar-0088-1189792,6-std-150t,6# STD-150T,TIE BAR 0088,1189792,-,2002,30,0
7-gtx-300t-upper-plate-tm-755a-1,7-gtx-300t,7# GTX-300T,UPPER PLATE,TM-755A-1,-,603476,842,0
7-gtx-300t-shield-resolver-stator-3605-2367,7-gtx-300t,7# GTX-300T,"SHIELD, RESOLVER STATOR",3605-2367,-,32416,134,0
7-gtx-300t-retainer-ring-assembly-5036755-aa,7-gtx-300t,7# GTX-300T,RETAINER RING ASSEMBLY,5036755-AA,-,11484,29,0
7-gtx-300t-rear-suspension-limiter-10378575,7-gtx-300t,7# GTX-300T,REAR SUSPENSION LIMITER,10378575,-,3370,3,0
7-gtx-300t-lower-sheet-metal-l-10383173,7-gtx-300t,7# GTX-300T,LOWER SHEET METAL-L,10383173,-,4270,9,0
7-gtx-300t-upper-housing-10383172-2-2,7-gtx-300t,7# GTX-300T,UPPER HOUSING,10383172,2/2,4060,0,0
7-gtx-300t-lower-sheet-metal-r-10383180,7-gtx-300t,7# GTX-300T,LOWER SHEET METAL-R,10383180,-,4070,6,0
7-gtx-300t-upper-housing-10383179-2-2,7-gtx-300t,7# GTX-300T,UPPER HOUSING,10383179,2/2,2800,0,0
7-gtx-300t-cg-bracket-rh-2567476-ab,7-gtx-300t,7# GTX-300T,CG BRACKET RH,2567476-AB,-,79399,79,0
7-gtx-300t-lower-base-sb-042b-2-2-1,7-gtx-300t,7# GTX-300T,LOWER BASE,SB-042B-2-2-1,-,26197,26,0
7-gtx-300t-spacer-plate-sb-092a-1-5,7-gtx-300t,7# GTX-300T,SPACER PLATE,SB-092A-1-5,-,9746,12,0
7-gtx-300t-metal-box4-6way-nms-bru30887-4-5,7-gtx-300t,7# GTX-300T,Metal Box4-6WAY,NMS/BRU30887,4/5,12653,0,0
7-gtx-300t-metal-box4-6way-nms-bru30887-5-5,7-gtx-300t,7# GTX-300T,Metal Box4-6WAY,NMS/BRU30887,5/5,12653,0,0
7-gtx-300t-outer-sb-087a-1,7-gtx-300t,7# GTX-300T,OUTER,SB-087A-1,-,27943,34,0
7-gtx-300t-metal-box8-10way-nms-bru30888-4-5,7-gtx-300t,7# GTX-300T,Metal Box8-10WAY,NMS/BRU30888,4/5,7900,0,0
7-gtx-300t-metal-box8-10way-nms-bru30888-5-5,7-gtx-300t,7# GTX-300T,Metal Box8-10WAY,NMS/BRU30888,5/5,7899,1,0
7-gtx-300t-metal-box-14-way-nms-bru30889-4-5,7-gtx-300t,7# GTX-300T,Metal Box 14 WAY,NMS/BRU30889,4/5,3847,0,0
7-gtx-300t-metal-box-14-way-nms-bru30889-5-5,7-gtx-300t,7# GTX-300T,Metal Box 14 WAY,NMS/BRU30889,5/5,3847,0,0
7-gtx-300t-outer-fe-sb-100b-1,7-gtx-300t,7# GTX-300T,OUTER (FE),SB-100B-1,-,13720,18,0
7-gtx-300t-upper-ring-sb-068a-1-3,7-gtx-300t,7# GTX-300T,UPPER RING,SB-068A-1-3,-,10898,9,0
7-gtx-300t-orifice-plate-sb-062c-2,7-gtx-300t,7# GTX-300T,Orifice Plate,SB-062C-2,-,35008,26,0
7-gtx-300t-stopper-ring-sb-092b-1-3,7-gtx-300t,7# GTX-300T,STOPPER RING,SB-092B-1-3,-,10164,6,0
7-gtx-300t-resi-cover-bracket-nve96548,7-gtx-300t,7# GTX-300T,Resi Cover Bracket,NVE96548,-,10000,3,0
7-gtx-300t-retainer-ring-assembly-5036775-aa,7-gtx-300t,7# GTX-300T,Retainer Ring Assembly,5036775-AA,-,7920,15,0
7-gtx-300t-stay-upper-0092-1189785,7-gtx-300t,7# GTX-300T,STAY UPPER 0092,1189785,-,2000,6,0
7-gtx-300t-lower-sheet-metal-assembly-10383086-1-3,7-gtx-300t,7# GTX-300T,LOWER SHEET METAL ASSEMBLY,10383086,1/3,3870,6,0
7-gtx-300t-cj-tie-bar-iea-8710-5038710,7-gtx-300t,7# GTX-300T,CJ TIE BAR IEA 8710,5038710,-,3000,0,0
8-gtx-500t-brkt-fe-th-538a-2-1-1-4,8-gtx-500t,8# GTX-500T,BRKT(FE),TH-538A-2-1,1/4,1339,12,0
8-gtx-500t-brkt-fe-th-538a-2-2,8-gtx-500t,8# GTX-500T,BRKT(FE),TH-538A-2-2,-,1682,5,0
8-gtx-500t-bracket-sb-068c-1-1-1-2,8-gtx-500t,8# GTX-500T,BRACKET,SB-068C-1-1,1/2,13606,21,0
8-gtx-500t-upper-housing-10383172-1-2,8-gtx-500t,8# GTX-500T,UPPER HOUSING,10383172,1/2,5466,9,0
8-gtx-500t-upper-housing-10383179-1-2,8-gtx-500t,8# GTX-500T,UPPER HOUSING,10383179,1/2,4620,9,0
8-gtx-500t-upper-housing-10383179-2-2,8-gtx-500t,8# GTX-500T,UPPER HOUSING,10383179,2/2,1262,0,0
8-gtx-500t-outer-tm-865a-1,8-gtx-500t,8# GTX-500T,OUTER,TM-865A-1,-,204763,262,0
8-gtx-500t-plate-tm-795a-1,8-gtx-500t,8# GTX-500T,PLATE,TM-795A-1,-,192101,70,0
8-gtx-500t-outer-tm-771a-1,8-gtx-500t,8# GTX-500T,OUTER,TM-771A-1,-,127912,221,0
8-gtx-500t-outer-tm-860a-1,8-gtx-500t,8# GTX-500T,OUTER,TM-860A-1,-,158305,255,0
8-gtx-500t-brkt-fe-sb-104a-1-2,8-gtx-500t,8# GTX-500T,BRKT (FE),SB-104A-1-2,-,673,3,0
8-gtx-500t-actuator-cup-tm-867a-1,8-gtx-500t,8# GTX-500T,ACTUATOR CUP,TM-867A-1,-,200988,271,0
8-gtx-500t-upper-base-sb-068c-1-2,8-gtx-500t,8# GTX-500T,UPPER BASE,SB-068C-1-2,-,15687,31,0
8-gtx-500t-active-bracket-upper-sb-092b-1-1,8-gtx-500t,8# GTX-500T,ACTIVE BRACKET UPPER,SB-092B-1-1,-,7440,68,0
8-gtx-500t-lower-plate-sb-042c-2-1,8-gtx-500t,8# GTX-500T,LOWER PLATE,SB-042C-2-1,-,24242,28,0
8-gtx-500t-retianer-side-r-1185579-ab,8-gtx-500t,8# GTX-500T,RETIANER SIDE R,1185579-AB,-,1017,8,0
8-gtx-500t-retianer-side-l-1185580-ab,8-gtx-500t,8# GTX-500T,RETIANER SIDE L,1185580-AB,-,1017,8,0
8-gtx-500t-retianer-bracket-r-1185581-aa,8-gtx-500t,8# GTX-500T,RETIANER BRACKET R,1185581-AA,-,2584,38,0
8-gtx-500t-retianer-bracket-l-1185582-aa,8-gtx-500t,8# GTX-500T,RETIANER BRACKET L,1185582-AA,-,2584,38,0
8-gtx-500t-retainer-knee-1185578,8-gtx-500t,8# GTX-500T,RETAINER KNEE,1185578,-,2844,7,0
8-gtx-500t-cup-tm-818a-1,8-gtx-500t,8# GTX-500T,CUP,TM-818A-1,-,6639,13,0
8-gtx-500t-outer-sn-185b-1,8-gtx-500t,8# GTX-500T,OUTER,SN-185B-1,-,45483,33,0
8-gtx-500t-upper-cup-sb-059c-2-1-1,8-gtx-500t,8# GTX-500T,Upper Cup,SB-059C-2,1/1,4725,8,0
8-gtx-500t-outer-tm-791a-1,8-gtx-500t,8# GTX-500T,OUTER,TM-791A-1,-,188181,132,0
8-gtx-500t-outer-tm-806a-1,8-gtx-500t,8# GTX-500T,OUTER,TM-806A-1,-,44730,61,0
8-gtx-500t-gland-plate-bru53717-1-3,8-gtx-500t,8# GTX-500T,Gland plate,BRU53717,1/3,10411,39,0
8-gtx-500t-brkt-fe-sb-104a-1-1-1-3,8-gtx-500t,8# GTX-500T,BRKT (FE),SB-104A-1-1,1/3,3096,15,0
8-gtx-500t-active-bracket-lower-sb-092b-1-2,8-gtx-500t,8# GTX-500T,ACTIVE BRACKET LOWER,SB-092B-1-2,-,6921,21,0
8-gtx-500t-brkt-sub-assy-sb-104a-1-2,8-gtx-500t,8# GTX-500T,BRKT SUB ASSY,SB-104A-1-2,-,3051,6,0
8-gtx-500t-upper-cup-sb-059c-2-1-4,8-gtx-500t,8# GTX-500T,Upper Cup,SB-059C-2,1/4,21895,65,0
8-gtx-500t-inner-11-669a-2,8-gtx-500t,8# GTX-500T,INNER,11-669A-2,-,12055,38,0
8-gtx-500t-diaphragm-outer-sb-064d-1,8-gtx-500t,8# GTX-500T,Diaphragm Outer,SB-064D-1,-,20448,21,0
8-gtx-500t-cj-base-rh-1189790,8-gtx-500t,8# GTX-500T,CJ BASE RH,1189790,-,1730,2,0
8-gtx-500t-inflator-bracket-rh-5037025-aa,8-gtx-500t,8# GTX-500T,Inflator Bracket RH,5037025-AA,-,7873,20,0
8-gtx-500t-inflator-bracket-lh-5036909-aa,8-gtx-500t,8# GTX-500T,Inflator Bracket LH,5036909-AA,-,7873,20,0
8-gtx-500t-cg-base-1121416,8-gtx-500t,8# GTX-500T,CG BASE,1121416,-,100,10,0
8-gtx-500t-cj-base-lh-1189791,8-gtx-500t,8# GTX-500T,CJ BASE LH,1189791,-,1220,1,0
8-gtx-500t-cj-upper-stay-fr-rh-5038517,8-gtx-500t,8# GTX-500T,"CJ UPPER STAY FR, RH",5038517,-,1906,12,0
8-gtx-500t-retainer-side-plate-r-1185579,8-gtx-500t,8# GTX-500T,Retainer side plate R,1185579,-,1500,3,0
8-gtx-500t-retainer-side-plate-l-1185580,8-gtx-500t,8# GTX-500T,Retainer side plate L,1185580,-,1500,3,0
8-gtx-500t-cj-upper-stay-fr-lh-5038515,8-gtx-500t,8# GTX-500T,"CJ UPPER STAY FR, LH",5038515,-,1526,6,0
8-gtx-500t-cj-base-frame-8709-5038709,8-gtx-500t,8# GTX-500T,CJ BASE FRAME 8709,5038709,-,3282,3,0
8-gtx-500t-brkt-fe-th-538a-1,8-gtx-500t,8# GTX-500T,BRKT(FE),TH-538A-1,-,778,9,0
9-ocp-110t-brkt-fe-th-538a-2-1-2-4,9-ocp-110t,9# OCP-110T,BRKT(FE),TH-538A-2-1,2/4,664,9,0
9-ocp-110t-brkt-fe-th-538a-2-1-3-4,9-ocp-110t,9# OCP-110T,BRKT(FE),TH-538A-2-1,3/4,663,0,0
9-ocp-110t-brkt-fe-th-538a-2-1-4-4,9-ocp-110t,9# OCP-110T,BRKT(FE),TH-538A-2-1,4/4,420,0,0
9-ocp-110t-lc-600-gland-plate-75170148-2-3,9-ocp-110t,9# OCP-110T,LC 600 Gland Plate,75170148,2/3,25429,9,0
9-ocp-110t-lc-600-gland-plate-75170148-3-3,9-ocp-110t,9# OCP-110T,LC 600 Gland Plate,75170148,3/3,5722,7,0
9-ocp-110t-retainer-ring-assembly-5036755-aa-2-2,9-ocp-110t,9# OCP-110T,RETAINER RING ASSEMBLY,5036755-AA,2/2,13415,26,13
9-ocp-110t-lower-sheet-metal-assembly-10383086-2-3,9-ocp-110t,9# OCP-110T,Lower sheet metal assembly,10383086,2/3,4868,2,0
9-ocp-110t-lower-sheet-metal-assembly-10383086-3-3,9-ocp-110t,9# OCP-110T,Lower sheet metal assembly,10383086,3/3,1040,0,0
9-ocp-110t-lc600-cover-75170154-3-3,9-ocp-110t,9# OCP-110T,LC600 COVER,75170154,3/3,10381,7,0
9-ocp-110t-upper-cup-sb-059c-2-4-4,9-ocp-110t,9# OCP-110T,Upper Cup,SB-059C-2,4/4,26418,1,0
9-ocp-110t-cg-base-1185509-2-2,9-ocp-110t,9# OCP-110T,CG BASE,1185509,2/2,55223,1,0
9-ocp-110t-upper-plate-tm-755a-1-2-2,9-ocp-110t,9# OCP-110T,UPPER PLATE,TM-755A-1,2/2,9408,13,0
9-ocp-110t-brkt-fe-sb-104a-1-1-3-3,9-ocp-110t,9# OCP-110T,BRKT (FE),SB-104A-1-1,3/3,1999,0,0
9-ocp-110t-brkt-fe-sb-104a-1-1-2-3,9-ocp-110t,9# OCP-110T,BRKT (FE),SB-104A-1-1,2/3,645,0,0
9-ocp-110t-heat-shield-sb-070b-1-2-5,9-ocp-110t,9# OCP-110T,HEAT SHIELD,SB-070B-1,2/5,1593,0,0
9-ocp-110t-heat-shield-sb-070b-1-3-5,9-ocp-110t,9# OCP-110T,HEAT SHIELD,SB-070B-1,3/5,1537,0,0
9-ocp-110t-heat-shield-sb-070b-1-4-5,9-ocp-110t,9# OCP-110T,HEAT SHIELD,SB-070B-1,4/5,1537,0,0
9-ocp-110t-heat-shield-sb-070b-1-5-5,9-ocp-110t,9# OCP-110T,HEAT SHIELD,SB-070B-1,5/5,1537,0,0
9-ocp-110t-lc600-cover-75170155-3-3,9-ocp-110t,9# OCP-110T,LC600 COVER,75170155,3/3,399,0,0
9-ocp-110t-heat-shield-sb-070c-1-2-5,9-ocp-110t,9# OCP-110T,HEAT SHIELD,SB-070C-1,2/5,11498,129,0
9-ocp-110t-heat-shield-sb-070c-1-3-5,9-ocp-110t,9# OCP-110T,HEAT SHIELD,SB-070C-1,3/5,11431,3,0
9-ocp-110t-heat-shield-sb-070c-1-4-5,9-ocp-110t,9# OCP-110T,HEAT SHIELD,SB-070C-1,4/5,11452,3,0
9-ocp-110t-heat-shield-sb-070c-1-5-5,9-ocp-110t,9# OCP-110T,HEAT SHIELD,SB-070C-1,5/5,11451,0,1
9-ocp-110t-cover-lug100-450mm-12w-bru53724-2-3,9-ocp-110t,9# OCP-110T,Cover LUG100 450mm 12w,BRU53724,2/3,145,0,0
9-ocp-110t-brkt-fe-th-538a-2-1-2-4-2,9-ocp-110t,9# OCP-110T,BRKT (FE),TH-538A-2-1,2/4,646,0,1
9-ocp-110t-brkt-fe-th-538a-2-1-3-4-2,9-ocp-110t,9# OCP-110T,BRKT (FE),TH-538A-2-1,3/4,1531,0,1
10-ocp-260-t-metal-box-dbf45-8-u-2-2,10-ocp-260-t,10# OCP-260 T,METAL BOX,DBF45-8-U,2/2,1995,5,0
10-ocp-260-t-metal-box-dbf60-8-u-2-2,10-ocp-260-t,10# OCP-260 T,METAL BOX,DBF60-8-U,2/2,500,0,0
10-ocp-260-t-bracket-sb-068c-1-1-2-2,10-ocp-260-t,10# OCP-260 T,BRACKET,SB-068C-1-1,2/2,9143,0,0
10-ocp-260-t-metal-box-wh-csl-dbs45-8-u-2-2,10-ocp-260-t,10# OCP-260 T,METAL BOX WH CSL,DBS45-8-U,2/2,614,0,0
10-ocp-260-t-lc-600-box-75170145-2-2,10-ocp-260-t,10# OCP-260 T,LC 600 Box,75170145,2/2,14069,76,0
10-ocp-260-t-lc-600-flat-door-75170162,10-ocp-260-t,10# OCP-260 T,LC 600 Flat Door,75170162,-,7205,3,0
10-ocp-260-t-metal-box-wh-csl-dbs30-8-u-2-2,10-ocp-260-t,10# OCP-260 T,METAL BOX WH CSL,DBS30-8-U,2/2,1591,7,0
10-ocp-260-t-metal-cover-6-way-nms-bru30891-2-2,10-ocp-260-t,10# OCP-260 T,METAL COVER 6 WAY,NMS/BRU30891,2/2,3485,6,0
10-ocp-260-t-metal-cover-4-way-nms-bru30890-2-2,10-ocp-260-t,10# OCP-260 T,METAL COVER 4 WAY,NMS/BRU30890,2/2,5164,0,0
10-ocp-260-t-active-bracket-upper-sb-092b-1-1-2-4,10-ocp-260-t,10# OCP-260 T,ACTIVE BRACKET UPPER,SB-092B-1-1,2/4,5742,1,0
10-ocp-260-t-active-bracket-upper-sb-092b-1-1-4-4,10-ocp-260-t,10# OCP-260 T,ACTIVE BRACKET UPPER,SB-092B-1-1,4/4,5006,0,0
10-ocp-260-t-metal-box8-10way-nms-bru30888-2-5,10-ocp-260-t,10# OCP-260 T,Metal Box8-10WAY,NMS/BRU30888,2/5,7859,8,0
10-ocp-260-t-metal-box-14way-nms-bru30889-2-5,10-ocp-260-t,10# OCP-260 T,Metal Box 14WAY,NMS/BRU30889,2/5,3500,6,0
10-ocp-260-t-upper-cup-sb-059c-2-3-4,10-ocp-260-t,10# OCP-260 T,Upper Cup,SB-059C-2,3/4,26443,2,0
10-ocp-260-t-metal-box-14way-nms-bru30889-3-5,10-ocp-260-t,10# OCP-260 T,Metal Box 14WAY,NMS/BRU30889,3/5,770,2,0
10-ocp-260-t-metal-box-wh-csl-dbs60-8-u-2-2,10-ocp-260-t,10# OCP-260 T,METAL BOX WH CSL,DBS60-8-U,2/2,400,0,0
10-ocp-260-t-metal-cover-8-way-nms-bru30892-2-2,10-ocp-260-t,10# OCP-260 T,Metal Cover 8 WAY,NMS/BRU30892,2/2,3263,0,0
10-ocp-260-t-metal-cover-10-way-nms-bru30893-2-2,10-ocp-260-t,10# OCP-260 T,Metal Cover 10 WAY,NMS/BRU30893,2/2,3000,0,0
10-ocp-260-t-metal-cover-14way-nms-bru30894-2-2,10-ocp-260-t,10# OCP-260 T,METAL COVER 14WAY,NMS/BRU30894,2/2,2158,0,0
10-ocp-260-t-lc600-cover-75170153-2-3,10-ocp-260-t,10# OCP-260 T,LC600 COVER,75170153,2/3,2816,1,0
10-ocp-260-t-u-box-450mm-bru53714-2-3,10-ocp-260-t,10# OCP-260 T,U BOX 450mm,BRU53714,2/3,1247,1,0
10-ocp-260-t-u-box-450mm-bru53714-3-3,10-ocp-260-t,10# OCP-260 T,U BOX 450mm,BRU53714,3/3,1095,0,0
10-ocp-260-t-cover-ez100-450mm-12w-bru53718-2-2,10-ocp-260-t,10# OCP-260 T,Cover EZ100 450mm 12w,BRU53718,2/2,1407,2,0
10-ocp-260-t-u-box-600mm-bru53715-2-3,10-ocp-260-t,10# OCP-260 T,U BOX 600mm,BRU53715,2/3,3261,0,0
10-ocp-260-t-cover-ez100-600mm-18w-bru53719-2-2,10-ocp-260-t,10# OCP-260 T,Cover EZ100 600mm 18w,BRU53719,2/2,1197,1,0
10-ocp-260-t-u-box-750mm-bru53716-2-3,10-ocp-260-t,10# OCP-260 T,U BOX 750mm,BRU53716,2/3,625,8,0
10-ocp-260-t-cover-ez100-750mm-36w-bru53722-2-2,10-ocp-260-t,10# OCP-260 T,Cover EZ100 750mm 36w,BRU53722,2/2,453,5,0
10-ocp-260-t-door-750mm-bru53747-2-2,10-ocp-260-t,10# OCP-260 T,Door 750mm,BRU53747,2/2,665,5,0
10-ocp-260-t-active-bracket-upper-sb-092b-1-1-3-4,10-ocp-260-t,10# OCP-260 T,ACTIVE BRACKET UPPER,SB-092B-1-1,3/4,1144,0,0
10-ocp-260-t-box-2-10-10-way-nve96528-2-3,10-ocp-260-t,10# OCP-260 T,BOX 2+10，10 WAY,NVE96528,2/3,1194,0,0
10-ocp-260-t-box-2-10-10-way-nve96528-3-3,10-ocp-260-t,10# OCP-260 T,BOX 2+10，10 WAY,NVE96528,3/3,1630,0,0
10-ocp-260-t-metal-cover-10-way-nve96526-2-4,10-ocp-260-t,10# OCP-260 T,Metal Cover 10-Way,NVE96526,2/4,1027,1,0
10-ocp-260-t-metal-cover-10-way-nve96526-4-4,10-ocp-260-t,10# OCP-260 T,Metal Cover 10-Way,NVE96526,4/4,2555,3,0
10-ocp-260-t-resi-box-bracket-nve96549-3-4,10-ocp-260-t,10# OCP-260 T,Resi Box Bracket,NVE96549,3/4,599,1,0
10-ocp-260-t-lc600-cover-75170154-2-3,10-ocp-260-t,10# OCP-260 T,LC600 COVER,75170154,2/3,2700,1,0
10-ocp-260-t-metal-box4-6way-nms-bru30887-3-5,10-ocp-260-t,10# OCP-260 T,Metal Box4-6WAY,NMS/BRU30887,3/5,3537,1,0
10-ocp-260-t-metal-box4-6way-nms-bru30887-2-5,10-ocp-260-t,10# OCP-260 T,Metal Box4-6WAY,NMS/BRU30887,2/5,7080,3,0
10-ocp-260-t-u-box-750mm-bru53716-3-3,10-ocp-260-t,10# OCP-260 T,U BOX 750mm,BRU53716,3/3,362,3,0
10-ocp-260-t-cover-ez100-750mm-42w-bru53723-3-3,10-ocp-260-t,10# OCP-260 T,Cover EZ100 750mm 42w,BRU53723,3/3,125,0,0
10-ocp-260-t-u-box-600mm-bru53715-3-3,10-ocp-260-t,10# OCP-260 T,U BOX 600mm,BRU53715,3/3,774,14,0
10-ocp-260-t-cover-ez100-600mm-30w-bru53721-3-3,10-ocp-260-t,10# OCP-260 T,Cover EZ100 600mm 30w,BRU53721,3/3,399,1,0
10-ocp-260-t-cover-ez100-600mm-24w-bru53720-3-3,10-ocp-260-t,10# OCP-260 T,Cover EZ100 600mm 24w,BRU53720,3/3,745,6,0
